Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
NEWSTAR - GUANSHEN FOOTWEAR,Footwear,Converse,,"NO.23 INDUSTRIAL ROAD, XIN HUA TOWN, HUA DU DISTRICT",GUANGZHOU,GUANGDONG,510800,China,Greater China,1200,984,70,0,,,,,
"NINGBO BRIDGE AUSLANBO KNITTING CO., LTD.",Apparel,Converse,,"SHOUNAN STREET, YINZHOU DISTRICT",NINGBO,ZHEJIANG,,China,Greater China,180,149,70,0,,,,,
"NINGBO HUAYI GARMENTS CO, LTD",Apparel,Converse,,"NO.11 DONGQIAN LAKE AREA,YINXIAN ROAD,NINGBO,CHINA.315121",NINGBO,ZHEJIANG,315121,China,Greater China,340,280,80,0,,,,,
QIFU BAGS MFG. LTD,Equipment,Converse,,"LIU JIA INDUSTRIAL AREA. LIUJIA VILLAGE, HENGLI TOWN;",DONGGUAN,GUANGDONG,,China,Greater China,230,185,53,0,,,,,
"QINGDAO DC LEATHER PRODUCTS CO., LTD",Equipment,Converse,,"NO.1 TIANSHAN 2ND ROAD, TONGJI, JIMO",QINGDAO,SHANDONG,266228,China,Greater China,809,702,80,0,,,,,
QINGDAO HANBAEK WORLD,Equipment,Converse,,"QIANWAHGTUAN-SHEQU CHENGYANG-JIEDAO,CHENGYANG DISTRICT",QINGDAO,SHANDONG,266228,China,Greater China,240,184,68,0,,,,,
"QINGDAO LUTIAN GARMENTS CO., LTD",Apparel,Converse,,"#8 SOUTH ROAD AND #1 EAST ROAD, INDUSTRY PARK OF JIAOZHOU BAY",QINGDAO,SHANDONG,266300,China,Greater China,245,206,82,0,,,,,
RICH SHINE INTERNATIONAL,Footwear,Converse,,"CHAO LANG DISTRICT, CHASHAN TOWN,DONGGUAN CITY",DONGGUAN,GUANGDONG,523392,China,Greater China,876,653,55,34.2,,,,,
ROADSTAR ENTERPRISE INC.,Footwear,Converse,,"YUANGANG VILLAGE, SANJIANG DIST.,",ZENGCHENG,GUANGDONG PROVINCE,511325,China,Greater China,1050,980,51,0,,,,,
SHI YAN KOON TIN SALINGER WATCH,Equipment,Converse,,"NO. 17 FUNYER STREET, GUAN TIEN IND. ESTATE, SHIYAN. BAO AN, SHENZHEN, CHINA",SHENZHEN,GUANGDONG,,China,Greater China,53,38,81,0,,,,,
