conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
B-3,3,1043005.6,118,8839.030508,0,Sparky,26606,PortLand,312,,,,,,,26918,17.0137647,17.85000038,,458237.4238,17.02345731,17.0137647,17.85000038,2,19,11,28,,,98.84092429,-26.71984319,-6,0,3,2,2.5,2
B-3,4,945685.3,115,8223.350435,0.025423729,Sparky,43124,PortLand,390,,,,,,,43514,17.47392363,19.70384627,,761229.9827,17.49390961,17.47392363,19.70384627,2,35,25,57,,,99.10373673,61.65391188,16,14,3,2,2.5,2
B-3,5,978177.5,114,8580.504386,0.008695652,Sparky,18567,PortLand,936,,,,,,,19503,15.46834806,17.30512776,,303398.4179,15.55649992,15.46834806,17.30512776,2,28,24,35,,,95.20073835,-55.17994209,-7,-1,3,2,2.5,2
B-3,6,1007703.7,108,9330.589815,0.052631579,Sparky,25803,PortLand,1726,Reliance-B,659,,,,,28188,16.74722904,16.35000038,23.19256423,475632.7515,16.87358988,16.35000038,23.19256423,3,31,22,48,,,91.53895275,44.53161052,3,-2,3,2,2.5,2
B-3,7,983104.1,111,8856.793694,0,Sparky,39143,Rhino,7108,Lamby,100,,,,,46351,17.44011024,21.87563583,19.5,840100.2548,18.1247493,17.44011024,21.87563583,3,52,39,75,,,84.44909495,64.43522066,21,17,3,2,2.5,2
B-3,8,1013315.6,113,8967.39469,0,Sparky,42866,Tilden,9594,Crown,4848,Rhino,1910,PortLand,888,60106,18.24639862,24.55000019,17.65012342,1172705.613,19.51062478,17.65012342,26.47963863,5,48,36,72,,,71.31733937,29.67573515,-4,-3,3,2,2.5,2
B-3,9,1041660.6,118,8827.632203,0,Sparky,8793,Crown,6420,PortLand,240,,,,,15453,17.08316318,17.61000061,20.75,268248.4578,17.35898905,17.08316318,20.75,3,14,11,16,,,56.90157251,-74.29042026,-34,-25,3,2,2.5,2
B-4,1,1045119.8,119,8782.519328,,T4,20047,Sparky,7018,PortLand,4521,Reliance-B,208,,,31794,15.80000019,18.48722324,19.23158593,537952.8198,16.91994778,15.80000019,21.73501587,4,14,12,28,,,63.05277725,,,,,,,
B-4,2,1078708.3,116,9299.209483,0.025210084,Sparky,10329,PortLand,7736,Crown,7200,Lamby,453,Joburg,140,25858,18.38502766,19.23841795,19.09499073,484340.4692,18.73077845,10.52799988,24,5,22,18,44,,,39.94508469,-18.67018934,8,6,3,2,2.5,2
B-4,3,1032239.6,118,8747.79322,0,Sparky,18451,PortLand,3064,Rhino,1974,Joburg,921,,,24410,17.13534287,19.61403405,19.73990847,435877.9904,17.85653381,17.13534287,22.42106351,4,30,23,46,,,75.58787382,-5.599814371,8,5,3,2,2.5,2
B-4,4,930334.4,111,8381.390991,0.059322034,Sparky,24649,Rhino,5496,PortLand,2296,Joburg,140,,,32581,16.28130585,21.56425741,19.44481719,567532.3669,17.41912056,16.28130585,21.79999924,4,46,39,73,,,75.65452257,33.47398607,16,16,3,2,2.5,2
B-4,5,981126,116,8457.982759,0,Sparky,15864,Rhino,804,Bernie,800,PortLand,768,,,18236,16.95113818,21.10791061,21.65376091,318524.6252,17.46680331,16.95113818,21.65376091,4,35,34,46,,,86.99276157,-44.0287284,-11,-5,3,2,2.5,2
B-4,6,1034608.8,115,8996.598261,0.00862069,Sparky,28653,PortLand,250,,,,,,,28903,15.22450286,16.35000038,,440315.1806,15.23423799,15.22450286,16.35000038,2,28,28,36,,,99.13503789,58.49418732,-7,-6,3,2,2.5,2
B-4,7,1055478.6,115,9178.074783,0,Sparky,28385,Addison,4000,Crown,900,Hannover,300,,,33585,16.4326062,22.67500019,16.38108635,579823.5057,17.26435926,16.38108635,26.47000046,4,48,46,64,,,84.51689742,16.19901048,20,18,3,2,2.5,2
B-4,8,1056341.5,117,9028.559829,0,Sparky,57098,Crown,5204,Addison,2000,Hannover,360,,,64662,17.3078476,17.2043578,21.85000038,1131614.961,17.50046335,17.2043578,28.16666667,4,43,36,67,,,88.30224862,92.53238053,-5,-10,3,2,2.5,2
B-4,9,967285.6,116,8338.668966,0.008547009,Sparky,11077,Crown,6312,,,,,,,17389,16.21116757,18.21904874,,294569.7389,16.94000453,16.21116757,18.21904874,2,16,16,18,,,63.70119041,-73.10785314,-27,-20,3,2,2.5,2
C-1,1,670368.3,74,9059.031081,,Crown,17595,Sparky,2038,Rhino,1710,PortLand,952,T4,21,22316,15.81855839,17.45653295,20.40870171,367175.0297,16.45344281,15.80000019,20.40870171,5,19,14,26,,,78.84477505,,,,3,2,3,2
C-1,2,668336.8,76,8793.905263,0,Crown,11859,Sparky,4268,Rhino,2544,PortLand,634,,,19305,15.41265087,13.52221693,20.80733494,305003.0084,15.79917163,13.52221693,20.80733494,4,24,19,29,,,61.42968143,-13.49256139,5,5,3,2,3,2
C-1,3,617102.5,71,8691.584507,0.065789474,Crown,26712,Bull,3204,Sparky,3029,Rhino,2630,Decathlon,522,36547,15.67636166,16.18539254,16.46240214,581859.4184,15.9208531,6.286480427,26.67000008,7,37,31,46,PortLand,354,73.08944647,89.31364931,13,12,3,2,3,2
C-1,4,543027.7,63,8619.487302,0.112676056,Crown,14213,Sparky,4357,K2,768,Rhino,588,Bernie,500,20820,16.04811162,16.79672104,28.19546881,349113.3039,16.76817022,16.04811162,28.19546881,6,37,31,46,PortLand,394,68.2660903,-43.03225983,0,0,3,2,3,2
C-1,5,593887.3,71,8364.609859,0,Rhino,10236,Crown,8328,Bernie,2400,JEETLO-P,2016,Sparky,1954,25672,22.4616709,15.32181534,18.84600886,452226.7403,17.61556327,0.872618496,27.23623345,8,43,29,47,K2,462,39.87223434,23.30451489,6,-2,3,2,3,1
C-1,6,585531.5,67,8739.276119,0.056338028,Crown,21288,Sparky,4204,Rhino,498,K2,300,PortLand,120,26410,16.55888006,16.49124827,20.69000053,442245.2668,16.74537171,16.04999924,27.27000046,5,27,22,31,,,80.60583112,2.874727329,-16,-7,3,2,3,2
