repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure,cName
2533914,Hwa Seung Indonesia; PT (HWI),Indonesia,ID,Personal and Household Goods,,,,0,hwa seung indonesia pt
2534001,CP Bangladesh Co Ltd,Bangladesh,BD,Chemicals | Food and Beverage,https://www.cpbangladesh.com/,,,0,cp bangladesh
2534011,Waringin Megah; PT,Indonesia,ID,Financial Services,https://www.waringinmegah.com/,,,0,waringin megah pt
2534119,Rembang Bangkit Sejahtera Jaya; PT,Indonesia,ID,Support Services (Industrial Goods and Services) | Travel and Leisure,https://www.rbsj.co.id/,,,0,rembang bangkit sejahtera jaya pt
2534124,Anindya Guna Utama; PT,Indonesia,ID,Construction and Materials | Mining,,,,0,anindya guna utama pt
2534169,Arshaka Putra Utama; PT (APU),Indonesia,ID,Mining,,,,0,arshaka putra utama pt
2534174,Duta Alam Sumatera; PT (DAS),Indonesia,ID,Mining,,,,0,duta alam sumatera pt
2534199,Anak Tiga Bintang; PT (ATB),Indonesia,ID,Mining,,,,0,anak tiga bintang pt
2534207,Nindya Sejati Joint Operation,Indonesia,ID,Construction and Materials,,,,0,nindya sejati joint operation
2534349,Galian Endapan Buana; PT,Indonesia,ID,Mining,,,,1,galian endapan buana pt
2534357,Anfin Co Ltd (Anfin; CTT),Vietnam,VN,Financial Services,https://www.anfin.vn/,,,1,anfin
2534440,Julo Teknologi Perdana; PT,Indonesia,ID,Financial Services,https://www.julo.co.id/,,,1,julo teknologi perdana pt
2534814,Saka Uniti Indonesia; PT (Gokomodo),Indonesia,ID,Software and Computer Services,https://gokomodo.com,,,1,saka uniti indonesia pt
2534822,Stockbit Sekuritas Digital; PT,Indonesia,ID,Software and Computer Services,https://stockbit.com/,,,1,stockbit sekuritas digital pt
2534833,Nook Technologies Co Ltd,Vietnam,VN,Personal and Household Goods | Software and Computer Services,https://www.workwithnook.com/,,,1,nook technologies
2534850,UpBanx Global Indonesia; PT,Indonesia,ID,Software and Computer Services | Financial Services,https://upbanx.com/,,,1,upbanx global indonesia pt
2534870,Pertamina Hulu Rokan Pendopo Field; PT,Indonesia,ID,Oil and Gas,,,,0,pertamina hulu rokan pendopo field pt
2534873,Educa Corp (Giao Duc; CTCP),Vietnam,VN,Software and Computer Services | Retail,https://edupia.vn/,,,1,educa corp
2534931,Sejutacita Anak Muda Indonesia; PT (Sejutacita),Indonesia,ID,Software and Computer Services,https://usedeall.com/,,,1,sejutacita anak muda indonesia pt
2534935,Maju Bersama Alia; PT (Sribuu),Indonesia,ID,Software and Computer Services,https://sribuu.id/,,,1,maju bersama alia pt
2534947,Banana Niaga Natura; PT,Indonesia,ID,Software and Computer Services | Retail,https://www.bananas.id/,,,1,banana niaga natura pt
2534950,Polymer Plastisindo Sukses; CV,Indonesia,ID,Chemicals,,,,0,polymer plastisindo sukses cv
2535093,Krakatau Tirta Industri; PT,Indonesia,ID,Utilities,https://www.krakatautirta.co.id/,,,0,krakatau tirta industri pt
2535099,Indo Koala Remittance; PT (Transfez),Indonesia,ID,Financial Services,https://www.transfez.com/,,,1,indo koala remittance pt
2535220,Karya Niaga Sukses; PT,Indonesia,ID,Industrial Engineering,https://www.ptkns.co.id/,,,0,karya niaga sukses pt
253548,Kusuma Sandang Mekarjaya PT,Indonesia,ID,Personal and Household Goods,http://ksmtekstil.com/,,,1,kusuma sandang mekarjaya pt
253563,Commodities Trading Co,Bangladesh,BD,Chemicals,,,,1,commodities trading co
2535652,Iiyama Seiki Vietnam Co Ltd,Vietnam,VN,Industrial Engineering,https://iiyamaseiki.co.jp/base/,,,0,iiyama seiki vietnam
2535694,Usaha Pintar Pratama; PT (Pasarnow),Indonesia,ID,Software and Computer Services | Retail,https://www.pasarnow.com/,,,1,usaha pintar pratama pt
2535698,Phuong Chau Trading Investment JSC,Vietnam,VN,Automobiles and Parts,http://phuongchautrading.com/,,,1,phuong chau trading investment jsc
2535820,Palma Gemilang Kencana; PT,Indonesia,ID,Food and Beverage,,,,0,palma gemilang kencana pt
2535823,Saranagriya Lestari Keramik; PT,Indonesia,ID,Construction and Materials,https://www.milantiles.com/,,,0,saranagriya lestari keramik pt
2535836,TK Food Products Distribution Ltd,Bangladesh,BD,Food and Beverage,https://tkfoodsbd.com/,,,1,tk food products distribution ltd
2535910,Dwimuria Investama Andalan; PT,Indonesia,ID,Financial Services,,,,1,dwimuria investama andalan pt
2535932,Panca Sakti Cemerlang; PT,Indonesia,ID,Mining,,,,1,panca sakti cemerlang pt
2536095,PRAN-RFL Group Ltd,Bangladesh,BD,Food and Beverage,https://www.pranfoods.net/,,,0,pran-rfl group ltd
2536248,Liga Indonesia Baru; PT (formerly Liga Indonesia; LIB),Indonesia,ID,Travel and Leisure,https://ligaindonesiabaru.com/,,,0,liga indonesia baru pt (formerly liga indonesia lib)
2536281,Prima Bangun Nusantara; CV,Indonesia,ID,Personal and Household Goods,,,,0,prima bangun nusantara cv
2536300,Sambaki Tambang Sentosa; PT,Indonesia,ID,Mining,,,,0,sambaki tambang sentosa pt
2536324,Ben Tre Waste Treatment JSC (Cong Ty Co Phan Xu Ly Rac Thai Ben Tre),Vietnam,VN,Support Services (Industrial Goods and Services),,,,0,ben tre waste treatment jsc
2536389,Biendong Petroleum Operating Co,Vietnam,VN,Oil and Gas,https://www.biendongpoc.vn/,,,1,biendong petroleum operating co
2536391,Rajawali Putri Muria; CV,Indonesia,ID,Food and Beverage,,,,0,rajawali putri muria cv
2536401,Knowledge Intelligent Service; PT,Indonesia,ID,Industrial Engineering,,,,0,knowledge intelligent service pt
2536413,Lama Rubber Industries Ltd,Bangladesh,BD,Forestry,,,,0,lama rubber industries ltd
2536421,Batu Natura Fortuna; PT,Indonesia,ID,Mining,,,,0,batu natura fortuna pt
2536454,Binuang Mitra Bersama Blok Dua; PT,Indonesia,ID,Mining,,,,1,binuang mitra bersama blok dua pt
2536755,Padi Mas Prima; PT,Indonesia,ID,Construction and Materials,,,,0,padi mas prima pt
2536811,Phat Tai Co Ltd (formerly Phat Dat Pvt Enterprise),Vietnam,VN,Food and Beverage,http://phattairice.com.vn/en/index.html,,,1,phat tai  (formerly phat dat pvt enterprise)
2536815,Buana Prima Karya; PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,buana prima karya pt
2537135,Van Thinh Phat Holdings Group Corp (VTP Holdings Group; Van Thinh Phat Group),Vietnam,VN,Financial Services,https://vtpgroup.com.vn/,,,0,van thinh phat holdings group corp
