conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,cus6,cus6ps,numbuyers,cus1share,allps,avgprice,minprice,maxprice,cus1price,cus2price,cus3price,numstyles,numartno,numbatches,pschange,stylesch,artnoch
C-4,4,574622.1,71,8093.269014,0.013888889,Crown,12665,,,,,,,,,,,1,100,12665,16.26529567,16.26529567,16.26529567,16.26529567,,,9,5,12,-37.65690377,-25,-28.57142857
C-4,5,563871.7,68,8292.230882,0.042253521,Crown,9856,PortLand,1120,,,,,,,,,2,89.79591837,10976,16.81802166,16.42802413,20.25,16.42802413,20.25,,9,6,11,-13.33596526,0,20
C-4,6,574982,66,8711.848485,0.029411765,Crown,19813,PortLand,2690,,,,,,,,,2,88.04603831,22503,17.31869278,16.68990266,21.95000076,16.68990266,21.95000076,,9,6,16,105.0200437,0,0
C-4,7,580577,65,8931.953846,0.015151515,Crown,33560,,,,,,,,,,,1,100,33560,17.11803366,17.11803366,17.11803366,17.11803366,,,23,14,48,49.1356708,155.5555556,133.3333333
C-4,8,544312.9,62,8779.240323,0.046153846,Crown,18669,,,,,,,,,,,1,100,18669,16.56098684,16.56098684,16.56098684,16.56098684,,,15,6,18,-44.37127533,-34.7826087,-57.14285714
C-4,9,565589.9,60,9426.498333,0.032258065,Crown,29454,,,,,,,,,,,1,100,29454,16.11296565,16.11296565,16.11296565,16.11296565,,,23,9,42,57.76956452,53.33333333,50
C-5,1,719533.3,91,7906.959341,,Crown,18810,,,,,,,,,,,1,100,18810,15.18467784,15.18467784,15.18467784,15.18467784,,,14,5,21,,,
C-5,2,687405.7,87,7901.214943,0.043956044,Crown,17488,,,,,,,,,,,1,100,17488,15.71335742,15.71335742,15.71335742,15.71335742,,,9,5,14,-7.028176502,-35.71428571,0
C-5,3,607569,74,8210.391892,0.149425287,Crown,13544,Rhino,756,,,,,,,,,2,94.71328671,14300,15.17893932,14.78982816,22.14999962,14.78982816,22.14999962,,11,7,14,-18.22964318,22.22222222,40
C-5,4,581120.2,75,7748.269333,0,Crown,1932,,,,,,,,,,,1,100,1932,15.27024869,15.27024869,15.27024869,15.27024869,,,3,2,3,-86.48951049,-72.72727273,-71.42857143
C-5,5,563270.6,73,7716.035616,0.026666667,Crown,17436,,,,,,,,,,,1,100,17436,16.02606308,16.02606308,16.02606308,16.02606308,,,13,5,16,802.484472,333.3333333,150
C-5,6,449872.9,61,7374.965574,0.164383562,Crown,5567,,,,,,,,,,,1,100,5567,16.36391376,16.36391376,16.36391376,16.36391376,,,4,3,6,-68.07180546,-69.23076923,-40
C-5,7,441398.6,54,8174.048148,0.114754098,Crown,40211,,,,,,,,,,,1,100,40211,16.62922545,16.62922545,16.62922545,16.62922545,,,20,13,23,622.3100413,400,333.3333333
C-5,8,442730.9,55,8049.652727,0,Crown,23221,,,,,,,,,,,1,100,23221,16.95953236,16.95953236,16.95953236,16.95953236,,,13,8,16,-42.25212007,-35,-38.46153846
C-5,9,502127.2,57,8809.249123,0,Crown,20807,,,,,,,,,,,1,100,20807,16.58358503,16.58358503,16.58358503,16.58358503,,,21,10,30,-10.39576246,61.53846154,25
C-6,1,703316.7,101,6963.531683,,Crown,16570,,,,,,,,,,,1,100,16570,15.54724265,15.54724265,15.54724265,15.54724265,,,11,8,21,,,
