conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch
C-4,3,607777.7,72,8441.356944,0.01369863,Crown,19569,,,,,,,,,19569,16.3494236,,,16.3494236,16.3494236,16.3494236,1,13,5,16,,,100,814,-1,-3
C-4,4,574622.1,71,8093.269014,0.013888889,Crown,13694,,,,,,,,,13694,16.28989185,,,16.28989185,16.28989185,16.28989185,1,6,4,9,,,100,-5875,-7,-1
C-4,5,563871.7,68,8292.230882,0.042253521,Crown,15895,PortLand,1120,,,,,,,17015,16.49028868,20.25,,16.73776894,16.49028868,20.25,2,12,7,17,,,93.41757273,3321,6,3
C-4,6,574982,66,8711.848485,0.029411765,Crown,19953,PortLand,2690,,,,,,,22643,16.64345825,21.95000076,,17.27387822,16.64345825,21.95000076,2,18,10,32,,,88.11994877,5628,6,3
C-4,7,580577,65,8931.953846,0.015151515,Crown,24331,,,,,,,,,24331,17.6367717,,,17.6367717,17.6367717,17.6367717,1,19,13,29,,,100,1688,1,3
C-4,8,544312.9,62,8779.240323,0.046153846,Crown,16584,,,,,,,,,16584,16.02000957,,,16.02000957,16.02000957,16.02000957,1,14,6,27,,,100,-7747,-5,-7
C-4,9,565589.9,60,9426.498333,0.032258065,Crown,28658,,,,,,,,,28658,16.16839562,,,16.16839562,16.16839562,16.16839562,1,14,8,26,,,100,12074,0,2
C-5,1,719533.3,91,7906.959341,,Crown,13233,,,,,,,,,13233,15.230436,,,15.230436,15.230436,15.230436,1,11,4,18,,,100,,,
C-5,2,687405.7,87,7901.214943,0.043956044,Crown,16988,Rhino,756,,,,,,,17744,15.6741791,22.14999962,,15.95008759,15.6741791,22.14999962,2,11,6,15,,,95.73940487,4511,0,2
C-5,3,607569,74,8210.391892,0.149425287,Crown,20468,,,,,,,,,20468,14.87412901,,,14.87412901,14.87412901,14.87412901,1,15,7,22,,,100,2724,4,1
C-5,4,581120.2,75,7748.269333,0,Crown,2306,,,,,,,,,2306,15.19715884,,,15.19715884,15.19715884,15.19715884,1,4,4,5,,,100,-18162,-11,-3
C-5,5,563270.6,73,7716.035616,0.026666667,Crown,18758,,,,,,,,,18758,16.26852945,,,16.26852945,16.26852945,16.26852945,1,12,6,14,,,100,16452,8,2
C-5,6,449872.9,61,7374.965574,0.164383562,Crown,19930,,,,,,,,,19930,16.78004197,,,16.78004197,16.78004197,16.78004197,1,16,4,20,,,100,1172,4,-2
C-5,7,441398.6,54,8174.048148,0.114754098,Crown,15440,,,,,,,,,15440,16.62289431,,,16.62289431,16.62289431,16.62289431,1,10,7,13,,,100,-4490,-6,3
C-5,8,442730.9,55,8049.652727,0,Crown,18612,,,,,,,,,18612,16.17095657,,,16.17095657,16.17095657,16.17095657,1,15,7,21,,,100,3172,5,0
C-5,9,502127.2,57,8809.249123,0,Crown,18366,,,,,,,,,18366,17.22285706,,,17.22285706,17.22285706,17.22285706,1,14,8,23,,,100,-246,-1,1
C-6,1,703316.7,101,6963.531683,,Crown,10992,,,,,,,,,10992,15.8987896,,,15.8987896,15.8987896,15.8987896,1,9,7,12,,,100,,,
C-6,2,945164.9,130,7270.499231,0,Crown,20247,,,,,,,,,20247,15.55245351,,,15.55245351,15.55245351,15.55245351,1,6,5,10,,,100,9255,-3,-2
C-6,3,1066021.4,149,7154.50604,0,Crown,16287,,,,,,,,,16287,15.25143802,,,15.25143802,15.25143802,15.25143802,1,5,3,7,,,100,-3960,-1,-2
C-6,4,1023687.7,134,7639.460448,0.100671141,Crown,8725,,,,,,,,,8725,15.34000015,,,15.34000015,15.34000015,15.34000015,1,33,1,44,,,100,-7562,28,-2
C-6,5,958886.2,132,7264.289394,0.014925373,,,,,,,,,,,0,,,,,,,0,0,0,0,,,,-8725,-33,-1
C-6,6,459386.4,72,6380.366667,0.454545455,Crown,11449,,,,,,,,,11449,16.10733779,,,16.10733779,16.10733779,16.10733779,1,4,4,8,,,100,11449,4,4
C-6,7,362960.6,58,6257.941379,0.194444444,,,,,,,,,,,0,,,,,,,0,0,0,0,,,,-11449,-4,-4
C-6,8,352655,46,7666.413043,0.206896552,,,,,,,,,,,0,,,,,,,0,0,0,0,,,,0,0,0
C-6,9,298253.1,38,7848.765789,0.173913043,Crown,685,,,,,,,,,685,19.17000008,,,19.17000008,19.17000008,19.17000008,1,1,1,1,,,100,685,1,1
C-7,6,358132.7,48,7461.097917,,Crown,11017,Rhino,72,,,,,,,11089,16.02570411,20.92000008,,16.05748238,16.02570411,20.92000008,2,16,7,16,,,99.35070791,,,
C-7,7,384174.2,49,7840.289796,0,Crown,4990,Rhino,618,,,,,,,5608,20.72999954,21.77000046,,20.84460735,20.72999954,21.77000046,2,5,3,9,,,88.98002853,-5481,-11,-4
C-7,8,400679.3,52,7705.371154,0,Crown,2532,Sparky,1512,,,,,,,4044,20.72999954,17.40715408,,19.48763002,17.40715408,20.72999954,2,8,3,11,,,62.61127596,-1564,3,0
C-7,9,438004.2,53,8264.230189,0,Crown,10540,,,,,,,,,10540,16.77915398,,,16.77915398,16.77915398,16.77915398,1,13,4,18,,,100,6496,5,1
